店铺名称,店铺id,,,,,
喵儿小公主,http://www.dianping.com/member/2352663,40,口味：4.0 环境：3.5 服务：3.5 性价比：4.0,,2020-10-17 15:41,☁️☁️¨̮ᴴᴬᵛᴱᴬᴳᴼᴼᴰᵀᴵᴹᴱદᵕ̈૩☁️દᵕ̈૩وً秋日限定وًوً‌وًوً今年一年都没出过上海，上班越上越烦躁！于是老陆带我来杭州次次次散心！周五订票周六说走就走！动车一下来，第一站直冲福缘居拿号！[薄荷]环境：要中午来！还要来的早！吃完出门一看，门口已经人满为患！全是来等位的！「脆皮大肠」老陆说在杭州的猪真惨！杭州人民的饭桌上都有大肠！这份75块的大肠是我吃到现在处理的最干净的大肠！大肠在油里炸过，表面和脆！里面有嚼劲！配上卤水！人间美味！「油淋鸡」菜还没上来时，我们觉得油淋鸡可能跟我们的葱油鸡差不多！但是上菜后还是很惊艳！鸡肯定是油里炸过，皮很脆，鸡肉却很嫩！铺上小葱后淋上热油！又香又脆！「膏蟹」原本我是想点「醉虾」的，但是老陆心心念念想吃膏蟹，没办法难的来一次就满足他了！膏蟹从冰箱里拿出来，还是有很多冰渣，幸好在饭里捂热！蘸上蟹醋！只能感叹一句！胆固醇的味道真好啊其实店里的菜还有很多，可惜我们只有两个人，本着每一顿都很珍贵的原则！只能放弃其他菜式！下次有机会还会来试试别的菜！	
江树_oliver,http://www.dianping.com/member/981996077,50,口味：5.0 环境：4.5 服务：4.5 性价比：4.5 人均：97元,喜欢的菜： 脆皮大肠 油淋鸡 糖醋里脊 百合西芹 雪菜蘑菇豆腐炖锅,2020-10-27 11:58,朋友来杭州工作约我吃饭，他早早结束了工作，而我还要上班，就让他先去福源居排队（好像不是什么好的待客之道）。可是福源居得等人齐了才能上桌，让朋友苦等了好一会。虽然是周一，五点多就已经有很多客人了，选择拼桌可以早点吃。两个人一共点了五个菜，总花费194💰🥢脆皮大肠，推荐菜top1，果然名不虚传，我真的好爱大肠，外皮被炸成焦糖色，入口先是脆脆的，里面是肥沃的肠肉，沾上酱汁真的绝🥢油淋鸡也超级好吃，同样是外皮酥脆，葱油飘香🥢糖醋里脊，十块钱买不到吃亏，感觉还是挺正宗的🥢百合西芹，很解腻、清爽的一道菜，芡汁包裹着西芹，使得西芹的口感更加爽滑🥢咸菜菌菇豆腐汤，我没怎么喝汤，朋友挺喜欢的。总得来说，一家看起来不像网红店的店铺能成为网红店一定是经得起吃货考验的，满分推荐	
郑米四,http://www.dianping.com/member/171383000,40,口味：4.5 环境：4.5 服务：4.5 性价比：3.5 人均：100元,,2020-10-27 15:54,「脆皮大肠」这个菜真的值得来吃，肥肠肥肠棒，首先是干净，外皮炸过，卤的味道有很棒，精品了。还有一些是干干脆脆的大肠，完全吃不出是大肠反而焦脆感爆炸，蘸卤汁味道更浓郁，怪不得是全网最高分。「油淋鸡」这个菜鸡肉很棒没话说，不过也许是因为和我妈妈蒸鱼用了同一种调味，所以惊艳度可能对我个人来说是没有的，味道是OK的。一边吃总有一种在吃我妈蒸鱼的感觉有点迷。「马蹄芦笋」马蹄芦笋这种做法是很棒了，马蹄甜甜的，芦笋一点点苦，味道很妙又很清爽。很江南了这味道，推荐试一试。「家常豆腐」这道菜很多很多人推荐，但是感觉就是“家常”豆腐，没有什么一定要上榜的理由，大多数馆子对于这道菜的做法都不太会失控。总体来说，部分菜的味道还是很棒的，但是如果要像日常那样等一个多小时来吃的话，可能不会选。对于游客来说，是一个认识本帮菜的好馆子。饭馆整体来说，在杭帮菜里是偏贵一些，但是有两个菜还是值得付钱。	
Joey,http://www.dianping.com/member/146200105,40,口味：4.0 环境：3.5 服务：4.0 性价比：3.0,喜欢的菜： 脆皮大肠 油淋鸡,2020-10-31 23:27,这家也是我做攻略要来吃的真的很想试试杭帮菜一点多到的不用排队有几个空位可能是因为错过饭点儿了上菜还是蛮快的「脆皮大肠」真的很特别以前吃到的大肠都是煮的或者炒的第一次是脆皮的真的是脆的诶好奇妙本北方人长见识了配的卤汁也不错喜欢「醉虾」这个不值得我以为是潮汕那边生腌的那种结果味道是甜咸的虾还很小个没吃头「马蹄芦笋」本来想点嫩菱芦笋结果说这个季节没有嫩菱了(哭我就真的很想知道嫩菱是什么啊然后退而求其次点了马蹄芦笋还蛮清爽的不错「油淋鸡」这道还不错没特别惊艳但也算可以四道菜花了200多主要是菜的分量小还是有点贵	
猫猫家的洛洛,http://www.dianping.com/member/3186870,35,口味：4.0 环境：3.0 服务：3.5 性价比：3.5,,2020-10-31 22:07,啊呦喂，墙裂推荐的不是排名第一第二的菜，是这个膏蟹，满满的黄糯糯的肉，根本停不下来第二推荐的就是炸响铃了，又脆又不油腻**时间有点短不够入味，多点酱油就好了葱油鸡的味道有点像南京大排档的王府鸡脆皮大肠不够脆，所以我一直挑小得吃这个仔蒜鳝鱼，好吃！很入味，鳝鱼很有弹性	
旒茕,http://www.dianping.com/member/3048184,30,口味：4.0 环境：2.0 服务：3.0 性价比：3.5,,2020-10-31 21:46,随便吃吃的水平，不值得排队。环境很吵，坐的很挤，服务员都不太耐烦，上错菜漏上菜「脆皮大肠」招牌菜，表皮脆，味道不错「油淋鸡」调味好，鸡的品质不行，肉木木的「片儿川」不好吃，面糊糊的，一点劲道都没有蛋黄南瓜，上汤菠菜还可以	
满嘴流油,http://www.dianping.com/member/1236774099,30,口味：3.0 环境：2.0 服务：2.0 性价比：2.5,,2020-10-31 20:21,大老远赶去凑热闹感觉味道并没有信息中的期望值高……觉得不是特别的杭帮菜。「脆皮大肠」大肠没有异味，有一些部位吃起来还是脆脆的，可以尝试一下。可是性价比不是很高，一份好像有七十几块钱。「葱油蛏子」蛏子是挺鲜的，适合清淡口味的人。「上汤苋菜」苋菜味道是还可以，可是有一丢丢老，我牙口不是很好，咬不短总得来说味道一般，性价比不高。两个人三四个菜话了两百多。觉得还是三姐妹性价比高。	
chouseisei,http://www.dianping.com/member/8308793,45,口味：4.5 环境：3.5 服务：4.5 性价比：4.5,,2020-10-31 18:16,「脆皮大肠」招牌菜，香脆可口，肥油处理得很干净「油淋鸡」一份份量很大，三个人吃都觉得挺多的「蛋黄南瓜」份量更大了，感觉三个人都吃不完「嫩菱芦笋」菱很嫩，炒的很新鲜「家常豆腐」有点咸，但里面的豆腐炸的外焦里嫩口感不错	
JoycEEE.,http://www.dianping.com/member/178733796,15,口味：1.5 环境：1.5 服务：0.5 性价比：1.5,,2020-10-31 18:14,菜品：点了5个菜。大肠是招牌，75一份量不多，但是味道挺一般的说实话。无功无过，对不起价格。爆炒腰花腥味挺重的，没有用水焯过。所以感觉不好吃。怕腥味的千万不要点。拌川味道挺淡，也着实一般。雪菜豆腐煲的雪菜颜色偏青色，是那种还没有腌成熟的雪菜，吃多了身体不好。最后一盘是卷鸡，用豆腐皮包裹着笋干勾芡，唯一一道我觉得还过得去的菜。两个人一共吃了212。说不上很便宜，但是味道却让我觉得根本不值。环境反正就是苍蝇馆子也无可厚非。但是我想说一说服务员的服务意识。去上洗手间碰巧听见服务员间的对话。一个服务员收拾好了上一桌客人的剩菜，其中一份臭豆腐那一桌客人一动未动。于是那个服务员端着臭豆腐问其他服务员这个一点没吃过我端回厨房吧？其他服务员表示赞同。我内心充满了问号？？周六下午四点半左右到前面就排了5桌人了。这家馆子的味道不推荐，价格也没有很便宜，更重要的是服务员的服务意识，让我全方位觉得喜欢不起来。害。是不是我太苛刻了还是真的有水军？	
啦啦啦太累了咯啦就咯了,http://www.dianping.com/member/48029075,25,口味：2.0 环境：2.0 服务：0.5 性价比：3.0 人均：100元,,2020-10-31 18:02,听着名气来的福源居真心失望啊我是特别喜欢大肠的一个吃货抖音上看见了福源居特地过来体验首先的感觉就是老板着态度是真心差牛上天了是去过最差服务的一家店还不得自带酒水强制消费他家的酒水再说着菜品75一盘的大肠量少的可怜味道也一般般只能说很普通无非做法是油炸还有那糖醋里脊根本就是醋里脊完全是酸味和面粉八宝油条和干炸带鱼就是没放盐一点味道都没有的怀疑他家是不是厨房采购忘记买盐了总之一句话体验感觉真心失望慢慢的失望差评真搞不懂怎么还会这么号的生意完全对不起这么大的名气啊	
树袋熊717,http://www.dianping.com/member/48508857,50,口味：5.0 环境：4.0 服务：0.5 性价比：5.0,,2020-10-31 17:17,慕名而来，外面看真是好小一家店，结果五点钟到就没有座了，还好可以拼桌，几乎每桌都会点大肠，确实味道很好，清理得也非常干净，趁热吃的时候外脆里嫩，带一点点微微的辣味，糖醋排骨性价比很高，量也足，两个人一共吃了90块，也是非常划算了	
P,http://www.dianping.com/member/50021163,45,口味：4.5 环境：3.5 服务：3.5 性价比：5.0 人均：106元,喜欢的菜： 脆皮大肠 油淋鸡,2020-10-31 16:56,一访｜福缘居早有耳闻福缘居据说是杭州人家常便饭的食堂基本要排队要等人齐也接受拼桌下飞机办好Check-In后第一时间就想着先冲过去排队如果排不到我已想好去宝中宝快到店的时候我一奔进店里发现正好一空桌前面还没人等位特别幸运一坐下后后面全是排队的还有许多拖着行李箱来的早前网上看了下菜单大概的点了一些冬笋毛豆是到店后临时要的有点失败菜很足但是笋被油焖的变味腊肉还行但配着吃依旧不喜欢招牌的大肠真的太可以了外酥里糯我一不爱吃大肠的人都爱上了酱汁正好缓解一些腻味油淋鸡外酥里嫩鸡肉比较柴调味好似清蒸鱼但是吃着还是开心的朋友要吃扬州炒饭哈哈哈湿湿的我不爱倒是盐调味的少合我意思环境没想象中差如果以后还有机会会再来试试醉蟹	
军魂_3832,http://www.dianping.com/member/1286706467,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：80元,喜欢的菜： 嫩菱芦笋 糖醋里脊,2020-10-31 16:06,不错呀6【恭喜你发现大众点评隐藏彩蛋】http://dpurl.cn/bWjIso1点击链接，再选择去浏览器打开；或复制这段描述#*9a21ffd5d5*#后到👉大众点评👈	
Jessica～～～,http://www.dianping.com/member/56122774,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：100元,喜欢的菜： 脆皮大肠 嫩菱芦笋 片儿川 爆炒腰花 糯米藕,2020-10-31 16:01,杭州美食中最怀念的就是这口儿脆皮大肠～酱汁是灵魂～太回味了抵达后的第一餐就安排了老字号福源居～得知等位是常态～那就掐好时间开餐前十分钟赶到～第一拨儿一定能吃上～全程自助式服务～自己写菜品下单～自己倒水～服务员只管上菜～无所谓啦～这么地道又实惠完全可以忽略服务～下次还会再去	
Alex_Lee007,http://www.dianping.com/member/34594753,45,口味：4.5 环境：4.0 服务：4.0 性价比：4.5 人均：170元,喜欢的菜： 马蹄芦笋 脆皮大肠 醉虾,2020-10-31 15:29,杭州必吃榜上非常有名的杭帮菜总体来说味道非常好，唯一美中不足的是虾油拼盘实在是太咸了，咸得有点齁。脆皮大肠，醉虾都是非常非常正宗的风味，非常推荐这两个菜。还被马蹄芦笋惊艳到，想着这个菜应该就是普通清炒，没有对味道有太高奢望，结果颜色口感和味道都非常棒。	
赵巧绿,http://www.dianping.com/member/36901487,30,口味：2.5 环境：2.5 服务：2.5 性价比：2.5 人均：70元,,2020-10-31 14:50,到杭州之后搜了好久决定走之前吃下杭州比较特色的美食他们家晚间16:30开业16:50到的时候就已经排满了大概还需要等半个小时左右拼桌不需要等位因为晚上还要赶高铁就选择了拼桌「油淋鸡」这个油淋鸡是他们家特色味道不错很鲜可以尝试「糖醋里脊」发现苏杭这边糖醋里脊和糖醋排骨都很便宜哈哈哈就点了一份真的不适合我的东北味非常酸非常甜吃两口就腻了「干炸臭豆腐」是闻起来没味道吃起来缺很臭的臭豆腐不建议点「脆皮大肠」其实最想点的是脆皮大肠但是妈妈不吃大肠一份要¥78我自己也吃不了一份就没有点但是看到隔壁桌点了他们说味道还可以但是四个人吃也剩了半份吃过之后觉得没有网上评价的那么高也不值得去等那么久老板态度也不好牛哄哄的样子菜品价格也偏高不建议去	
阴天快乐,http://www.dianping.com/member/1329052337,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2020-10-31 12:34,大中午的来吃了一次这家网红店，店里人山人海，点了一个鱼丸汤，超级Q弹美味。还有几个其他的菜也是很好吃。	
